         13501280 function calls (13282499 primitive calls) in 24.649 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2803    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1333    0.001    0.000    0.001    0.000 console.py:1456(get_style)
      313    0.001    0.000    0.001    0.000 _emoji_replace.py:12(_emoji_replace)
        1    0.000    0.000    0.001    0.001 _xterm_parser.py:1(<module>)
       11    0.000    0.000    0.001    0.000 scrollbar.py:303(_on_enter)
      322    0.000    0.000    0.001    0.000 dom.py:598(get_location)
        5    0.000    0.000    0.001    0.000 app.py:3140(_dispatch_action)
      211    0.000    0.000    0.001    0.000 _figure.py:175(ticks_color)
     2014    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      184    0.001    0.000    0.001    0.000 style.py:335(_make_ansi_codes)
     3736    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      503    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
      223    0.000    0.000    0.001    0.000 _writers.py:36(write_request)
        1    0.000    0.000    0.001    0.001 tls.py:1(<module>)
     4187    0.001    0.000    0.001    0.000 {method 'groups' of 're.Match' objects}
        5    0.000    0.000    0.001    0.000 _make.py:1950(_make_repr)
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
     1508    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      182    0.000    0.000    0.001    0.000 widget.py:1389(validate_scroll_x)
      296    0.001    0.000    0.001    0.000 selectors.py:234(register)
     7967    0.001    0.000    0.001    0.000 http11.py:298(is_closed)
        3    0.000    0.000    0.001    0.000 screen.py:462(focus_chain)
      185    0.000    0.000    0.001    0.000 threading.py:515(release)
        7    0.000    0.000    0.001    0.000 query.py:396(remove)
     5298    0.001    0.000    0.001    0.000 {method 'span' of 're.Match' objects}
      220    0.000    0.000    0.001    0.000 _urlparse.py:138(__str__)
      175    0.001    0.000    0.001    0.000 _utility.py:470(set_data)
     1078    0.000    0.000    0.001    0.000 _style_properties.py:862(__get__)
        1    0.000    0.000    0.001    0.001 _tabbed_content.py:163(TabPane)
       11    0.000    0.000    0.001    0.000 scrollbar.py:306(_on_leave)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
    11785    0.001    0.000    0.001    0.000 {built-in method _operator.index}
      356    0.000    0.000    0.001    0.000 constrain.py:22(__rich_console__)
      228    0.001    0.000    0.001    0.000 tasks.py:522(_wait)
      102    0.001    0.000    0.001    0.000 {built-in method posix.read}
     4240    0.001    0.000    0.001    0.000 {method 'get_name' of '_asyncio.Task' objects}
     5260    0.001    0.000    0.001    0.000 scalar.py:224(is_auto)
     1196    0.001    0.000    0.001    0.000 events.py:72(cancel)
        1    0.000    0.000    0.001    0.001 _state.py:1(<module>)
    11450    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
      300    0.000    0.000    0.001    0.000 random.py:332(randint)
    10765    0.001    0.000    0.001    0.000 style.py:198(null)
     1387    0.001    0.000    0.001    0.000 _style_properties.py:116(validate_value)
      228    0.000    0.000    0.001    0.000 _utility.py:149(correct_coord)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
      713    0.001    0.000    0.001    0.000 _models.py:272(__contains__)
     3138    0.001    0.000    0.001    0.000 containers.py:75(__iter__)
      239    0.001    0.000    0.001    0.000 _models.py:230(__setitem__)
      211    0.000    0.000    0.001    0.000 _monitor.py:229(set_ticks_color)
      107    0.000    0.000    0.001    0.000 widget.py:473(allow_vertical_scroll)
     6897    0.001    0.000    0.001    0.000 queues.py:99(full)
      487    0.000    0.000    0.001    0.000 _base.py:383(cancelled)
       69    0.000    0.000    0.001    0.000 scrollbar.py:275(_render_bar)
      442    0.001    0.000    0.001    0.000 _events.py:337(__init__)
     4939    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.001    0.001 app.py:1972(_get_screen)
      190    0.000    0.000    0.001    0.000 styles.py:638(_align_size)
        2    0.000    0.000    0.001    0.001 app.py:3232(_on_key)
       23    0.000    0.000    0.001    0.000 app.py:3383(_prune_nodes)
       14    0.000    0.000    0.001    0.000 _make.py:1135(add_eq)
        1    0.000    0.000    0.001    0.001 binding.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _input.py:93(Input)
     5119    0.001    0.000    0.001    0.000 geometry.py:443(__bool__)
       24    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
      170    0.000    0.000    0.001    0.000 _button.py:212(get_content_width)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:916(__new__)
        9    0.000    0.000    0.001    0.000 _styles_builder.py:626(process_layout)
      384    0.001    0.000    0.001    0.000 _urlparse.py:408(percent_encode)
     3915    0.001    0.000    0.001    0.000 {method 'discard' of 'set' objects}
     1124    0.001    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
       24    0.000    0.000    0.001    0.000 selector_events.py:779(__init__)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
       15    0.000    0.000    0.001    0.000 _footer.py:67(__init__)
      199    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      514    0.001    0.000    0.001    0.000 typing.py:1159(__getattr__)
       15    0.000    0.000    0.001    0.000 _make.py:1088(add_init)
     2671    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
       26    0.000    0.000    0.001    0.000 _strptime.py:551(_strptime_datetime)
 1326/967    0.000    0.000    0.001    0.000 typing.py:1239(__hash__)
      525    0.000    0.000    0.001    0.000 _monitor.py:264(xside_to_pos)
     2112    0.001    0.000    0.001    0.000 {built-in method now}
     1562    0.001    0.000    0.001    0.000 <frozen _collections_abc>:1022(__iter__)
     3162    0.001    0.000    0.001    0.000 inspect.py:295(isclass)
       47    0.000    0.000    0.001    0.000 _border.py:241(get_box)
      182    0.000    0.000    0.001    0.000 widget.py:1401(max_scroll_x)
       14    0.000    0.000    0.001    0.000 __main__.py:33(on_unmount)
        1    0.000    0.000    0.001    0.001 _toast.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _config.py:157(_create_default_ssl_context)
      322    0.000    0.000    0.001    0.000 inspect.py:908(getfile)
       14    0.000    0.000    0.001    0.000 _client.py:2011(aclose)
        1    0.000    0.000    0.001    0.001 scrollbar.py:1(<module>)
       14    0.000    0.000    0.001    0.000 default.py:384(aclose)
      212    0.000    0.000    0.001    0.000 case.py:5(camel_to_snake)
        2    0.000    0.000    0.001    0.000 message.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:464(version)
       32    0.000    0.000    0.001    0.000 widget.py:3797(_on_scroll_to)
        1    0.000    0.000    0.001    0.001 strip.py:1(<module>)
      398    0.000    0.000    0.001    0.000 style.py:600(combine)
     4822    0.001    0.000    0.001    0.000 {method 'done' of '_asyncio.Future' objects}
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 command.py:419(CommandPalette)
        1    0.000    0.000    0.001    0.001 __init__.py:436(metadata)
     1227    0.000    0.000    0.001    0.000 selectors.py:215(_fileobj_lookup)
      611    0.000    0.000    0.001    0.000 widget.py:1590(scrollbar_size_horizontal)
      898    0.001    0.000    0.001    0.000 __init__.py:161(worker)
      167    0.000    0.000    0.001    0.000 geometry.py:1091(unpack)
        1    0.000    0.000    0.001    0.001 message_pump.py:1(<module>)
      865    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       26    0.000    0.000    0.001    0.000 _input.py:509(_on_mount)
     4219    0.001    0.000    0.001    0.000 stylesheet.py:471(<genexpr>)
     7162    0.001    0.000    0.001    0.000 locks.py:193(clear)
        3    0.000    0.000    0.001    0.000 _exceptions.py:1(<module>)
       26    0.000    0.000    0.001    0.000 _strptime.py:293(_strptime)
       15    0.000    0.000    0.001    0.000 _make.py:2113(_make_init)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
      727    0.001    0.000    0.001    0.000 weakref.py:367(__init__)
     1050    0.000    0.000    0.001    0.000 time.py:49(_abs_timedelta)
     4608    0.001    0.000    0.001    0.000 geometry.py:1051(width)
     1321    0.000    0.000    0.001    0.000 request.py:397(add_header)
        1    0.000    0.000    0.001    0.001 validation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
    12757    0.001    0.000    0.001    0.000 message_pump.py:218(is_dom_root)
      353    0.000    0.000    0.001    0.000 color.py:339(is_system_defined)
        1    0.000    0.000    0.001    0.001 file_proxy.py:1(<module>)
     1100    0.000    0.000    0.001    0.000 _readers.py:43(_obsolete_line_fold)
        1    0.000    0.000    0.001    0.001 __main__.py:30(on_mount)
        1    0.000    0.000    0.001    0.001 console.py:594(Console)
      440    0.000    0.000    0.001    0.000 message.py:529(get_all)
      242    0.000    0.000    0.001    0.000 events.py:42(__init__)
       16    0.000    0.000    0.001    0.000 _make.py:1743(_make_hash)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
       42    0.000    0.000    0.001    0.000 _figure.py:342(_set_sizes)
      152    0.000    0.000    0.001    0.000 widget.py:3748(_on_mount)
        1    0.000    0.000    0.001    0.001 app.py:3558(action_focus_next)
        1    0.000    0.000    0.001    0.001 markup.py:1(<module>)
       14    0.000    0.000    0.001    0.000 connection_pool.py:307(aclose)
        1    0.000    0.000    0.001    0.001 screen.py:574(focus_next)
      238    0.000    0.000    0.001    0.000 _client.py:392(_merge_cookies)
      300    0.000    0.000    0.001    0.000 random.py:291(randrange)
      707    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.001    0.001 screen.py:510(_move_focus)
        1    0.000    0.000    0.001    0.001 configparser.py:541(RawConfigParser)
    10324    0.001    0.000    0.001    0.000 fractions.py:397(numerator)
     9009    0.001    0.000    0.001    0.000 _matrix.py:63(set_style)
        1    0.000    0.000    0.001    0.001 scalar.py:1(<module>)
      804    0.000    0.000    0.001    0.000 threading.py:314(_is_owned)
        1    0.000    0.000    0.001    0.001 _default.py:1(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
      669    0.001    0.000    0.001    0.000 _urlparse.py:332(normalize_port)
     4266    0.001    0.000    0.001    0.000 {built-in method _asyncio._get_running_loop}
     2928    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 _styles_cache.py:1(<module>)
      439    0.000    0.000    0.001    0.000 _decoders.py:199(flush)
      191    0.000    0.000    0.001    0.000 parse.py:413(_splitnetloc)
      466    0.001    0.000    0.001    0.000 _events.py:299(__init__)
     3422    0.001    0.000    0.001    0.000 scalar.py:202(is_fraction)
      103    0.001    0.000    0.001    0.000 _xterm_parser.py:57(feed)
    10324    0.001    0.000    0.001    0.000 fractions.py:401(denominator)
     1154    0.001    0.000    0.001    0.000 _models.py:121(raw)
      220    0.000    0.000    0.001    0.000 parse.py:1073(_splittype)
     3116    0.001    0.000    0.001    0.000 _utility.py:360(is_integer_color)
       48    0.000    0.000    0.001    0.000 _asyncio.py:655(__aexit__)
     3857    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
     6714    0.001    0.000    0.001    0.000 {built-in method _operator.gt}
       19    0.000    0.000    0.001    0.000 stylesheet.py:156(_variable_tokens)
        1    0.000    0.000    0.001    0.001 geometry.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _tooltip.py:1(<module>)
       12    0.000    0.000    0.001    0.000 trading.py:464(watch_time_window)
        1    0.000    0.000    0.001    0.001 tokenize.py:252(tokenize_values)
       76    0.000    0.000    0.001    0.000 dataclasses.py:250(_recursive_repr)
        1    0.000    0.000    0.001    0.001 _footer.py:1(<module>)
      219    0.000    0.000    0.001    0.000 __init__.py:244(detect_encoding)
        1    0.000    0.000    0.001    0.001 termui.py:1(<module>)
       20    0.000    0.000    0.001    0.000 parse.py:55(parse_selectors)
       30    0.000    0.000    0.001    0.000 message_pump.py:384(set_interval)
       61    0.000    0.000    0.001    0.000 widget.py:3688(broker_event)
       24    0.000    0.000    0.001    0.000 selector_events.py:315(_add_writer)
      2/1    0.000    0.000    0.001    0.001 <frozen runpy>:105(_get_module_details)
        1    0.000    0.000    0.001    0.001 decorators.py:1(<module>)
       17    0.000    0.000    0.001    0.000 dom.py:782(display)
       20    0.000    0.000    0.001    0.000 _border.py:300(render_border_label)
       14    0.000    0.000    0.001    0.000 _make.py:1076(add_hash)
     3084    0.000    0.000    0.001    0.000 typing.py:1233(__eq__)
      853    0.000    0.000    0.001    0.000 coroutines.py:32(iscoroutine)
      640    0.000    0.000    0.001    0.000 geometry.py:678(contains_region)
      273    0.000    0.000    0.001    0.000 color.py:278(hex)
      350    0.000    0.000    0.001    0.000 timer.py:140(resume)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 formatting.py:1(<module>)
      444    0.000    0.000    0.001    0.000 _writers.py:63(__call__)
     4438    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _wrap.py:1(<module>)
      700    0.001    0.000    0.001    0.000 _monitor.py:254(correct_xside)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
      669    0.000    0.000    0.001    0.000 _urlparse.py:359(validate_path)
      203    0.000    0.000    0.001    0.000 geometry.py:811(union)
       55    0.000    0.000    0.001    0.000 inspect.py:1820(getattr_static)
      800    0.000    0.000    0.001    0.000 console.py:759(file)
       85    0.000    0.000    0.001    0.000 _input.py:465(cursor_width)
  546/425    0.000    0.000    0.001    0.000 typing.py:1551(__hash__)
        1    0.000    0.000    0.001    0.001 __init__.py:31(message_from_string)
        1    0.000    0.000    0.001    0.001 _border.py:1(<module>)
     3970    0.001    0.000    0.001    0.000 {method 'isdigit' of 'str' objects}
        2    0.000    0.000    0.001    0.000 signal.py:1(<module>)
      553    0.001    0.000    0.001    0.000 color_triplet.py:14(hex)
      518    0.000    0.000    0.001    0.000 _asyncio.py:2040(current_time)
      179    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     4199    0.001    0.000    0.001    0.000 geometry.py:1056(height)
      410    0.000    0.000    0.001    0.000 widget.py:3169(_get_rich_justify)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
     1574    0.001    0.000    0.001    0.000 _state.py:301(_fire_event_triggered_transitions)
      196    0.000    0.000    0.001    0.000 queue.py:92(qsize)
      232    0.000    0.000    0.001    0.000 typing.py:1538(<genexpr>)
      312    0.000    0.000    0.001    0.000 text.py:429(blank_copy)
      697    0.001    0.000    0.001    0.000 widget.py:3691(notify_style_update)
        3    0.000    0.000    0.001    0.000 _make.py:2007(_add_repr)
      547    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     5433    0.001    0.000    0.001    0.000 segment.py:670(__rich_console__)
     8550    0.001    0.000    0.001    0.000 connection_pool.py:39(is_queued)
       59    0.000    0.000    0.001    0.000 timer.py:104(_stop_all)
      237    0.000    0.000    0.001    0.000 _base.py:393(done)
      166    0.000    0.000    0.001    0.000 tasks.py:767(_done_callback)
      427    0.000    0.000    0.001    0.000 color.py:213(clamped)
      313    0.000    0.000    0.001    0.000 dataclasses.py:864(_set_new_attribute)
        1    0.000    0.000    0.001    0.001 keys.py:8(Keys)
        1    0.000    0.000    0.001    0.001 _worker_manager.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:40(__getattr__)
        1    0.000    0.000    0.001    0.001 _version_info.py:1(<module>)
      353    0.000    0.000    0.001    0.000 color.py:332(system)
      102    0.000    0.000    0.001    0.000 inspect.py:2097(_signature_bound_method)
        1    0.000    0.000    0.001    0.001 panel.py:1(<module>)
      220    0.000    0.000    0.001    0.000 _models.py:178(get_list)
        1    0.000    0.000    0.001    0.001 parser.py:41(parse)
       48    0.000    0.000    0.001    0.000 widget.py:3386(_refresh_scroll)
     1849    0.000    0.000    0.001    0.000 _parser.py:176(append)
       12    0.000    0.000    0.001    0.000 trading.py:460(watch_marker)
        6    0.000    0.000    0.001    0.000 login.py:23(compose)
       45    0.000    0.000    0.001    0.000 threading.py:616(set)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
     4264    0.001    0.000    0.001    0.000 {method 'get_coro' of '_asyncio.Task' objects}
        1    0.000    0.000    0.001    0.001 _button.py:1(<module>)
      103    0.000    0.000    0.001    0.000 <frozen codecs>:319(decode)
       82    0.000    0.000    0.001    0.000 screen.py:1166(_translate_mouse_move_event)
       15    0.000    0.000    0.001    0.000 _make.py:805(build_class)
     2324    0.001    0.000    0.001    0.000 {method 'cancelling' of '_asyncio.Task' objects}
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
     1135    0.001    0.000    0.001    0.000 widget.py:1799(_console)
      796    0.001    0.000    0.001    0.000 <string>:2(__init__)
     2863    0.001    0.000    0.001    0.000 widget.py:527(is_anchored)
     1396    0.001    0.000    0.001    0.000 widget.py:637(clear_cached_dimensions)
      238    0.000    0.000    0.001    0.000 _models.py:255(__init__)
      545    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       61    0.000    0.000    0.001    0.000 app.py:3180(_broker_event)
      193    0.001    0.000    0.001    0.000 parse.py:115(_decode_args)
      472    0.000    0.000    0.001    0.000 geometry.py:568(__sub__)
      268    0.000    0.000    0.001    0.000 enum.py:1541(__and__)
     3790    0.000    0.000    0.001    0.000 _parser.py:256(match)
      304    0.000    0.000    0.001    0.000 events.py:114(__init__)
        1    0.000    0.000    0.001    0.001 _strptime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _select.py:42(SelectOverlay)
        1    0.000    0.000    0.001    0.001 tasks.py:1(<module>)
      429    0.000    0.000    0.001    0.000 inspect.py:405(_has_coroutine_mark)
       30    0.000    0.000    0.001    0.000 scrollbar.py:341(_on_mouse_move)
       89    0.000    0.000    0.001    0.000 segment.py:383(set_shape)
       14    0.000    0.000    0.001    0.000 _make.py:867(_create_slots_class)
        1    0.000    0.000    0.001    0.001 _palettes.py:1(<module>)
      461    0.001    0.000    0.001    0.000 connection_pool.py:27(clear_connection)
     1908    0.001    0.000    0.001    0.000 {built-in method _contextvars.copy_context}
      659    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        9    0.000    0.000    0.001    0.000 screen.py:1093(_handle_tooltip_timer)
       25    0.000    0.000    0.001    0.000 widget.py:3493(render)
      366    0.000    0.000    0.001    0.000 text.py:1088(flatten_spans)
       48    0.000    0.000    0.001    0.000 selector_events.py:331(_remove_writer)
        1    0.000    0.000    0.001    0.001 suggestions.py:1(<module>)
     1001    0.000    0.000    0.001    0.000 copy.py:231(_keep_alive)
      268    0.000    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      223    0.000    0.000    0.001    0.000 _writers.py:22(write_headers)
      686    0.000    0.000    0.001    0.000 http11.py:271(can_handle_request)
     8996    0.001    0.000    0.001    0.000 _compositor.py:1050(<lambda>)
      619    0.000    0.000    0.001    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      715    0.000    0.000    0.001    0.000 _urls.py:280(raw_path)
      747    0.000    0.000    0.001    0.000 text.py:190(__contains__)
        2    0.000    0.000    0.001    0.000 stylesheet.py:665(update)
        4    0.000    0.000    0.001    0.000 errors.py:1(<module>)
      601    0.000    0.000    0.001    0.000 dom.py:389(workers)
       24    0.000    0.000    0.001    0.000 selector_events.py:679(_sock_write_done)
      169    0.000    0.000    0.001    0.000 geometry.py:284(clamp_offset)
        1    0.000    0.000    0.001    0.001 text.py:117(Text)
       76    0.000    0.000    0.001    0.000 tasks.py:472(wait_for)
       89    0.000    0.000    0.001    0.000 segment.py:369(get_shape)
        1    0.000    0.000    0.001    0.001 feedparser.py:171(feed)
        1    0.000    0.000    0.001    0.001 _strptime.py:173(__init__)
      239    0.000    0.000    0.001    0.000 _models.py:200(update)
     2100    0.000    0.000    0.001    0.000 time.py:268(_convert_aware_datetime)
     2774    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      224    0.000    0.000    0.001    0.000 _worker_manager.py:139(cancel_group)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       24    0.000    0.000    0.001    0.000 selector_events.py:1207(close)
      342    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
       16    0.000    0.000    0.001    0.000 typing.py:1800(__new__)
       30    0.000    0.000    0.001    0.000 widget.py:1783(_focus_sort_key)
      169    0.000    0.000    0.001    0.000 text.py:482(stylize_before)
      313    0.000    0.000    0.001    0.000 styles.py:586(_get_transition)
        1    0.000    0.000    0.001    0.001 _writers.py:1(<module>)
       24    0.001    0.000    0.001    0.000 {method 'shutdown' of '_socket.socket' objects}
     5201    0.001    0.000    0.001    0.000 stylesheet.py:472(<genexpr>)
       75    0.000    0.000    0.001    0.000 scalar.py:265(resolve)
       98    0.000    0.000    0.001    0.000 message.py:62(__init_subclass__)
      238    0.000    0.000    0.001    0.000 _models.py:1160(__bool__)
        1    0.000    0.000    0.001    0.001 platform.py:1138(python_implementation)
     5883    0.001    0.000    0.001    0.000 http11.py:274(is_available)
        1    0.000    0.000    0.001    0.001 platform.py:1040(_sys_version)
       39    0.000    0.000    0.001    0.000 message_pump.py:435(call_later)
       24    0.000    0.000    0.001    0.000 selector_events.py:369(remove_writer)
      488    0.000    0.000    0.001    0.000 styles.py:1108(__eq__)
    24/16    0.002    0.000    0.001    0.000 {built-in method _socket.getaddrinfo}
     2948    0.000    0.000    0.001    0.000 _parser.py:164(__len__)
        5    0.000    0.000    0.001    0.000 screen.py:313(active_bindings)
      886    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
      244    0.000    0.000    0.001    0.000 _connection.py:352(receive_data)
       70    0.000    0.000    0.001    0.000 typing.py:1136(__call__)
      153    0.000    0.000    0.001    0.000 widget.py:561(_check_disabled)
        1    0.000    0.000    0.001    0.001 factory.py:1(<module>)
      677    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      602    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.001    0.001 user.py:1(<module>)
     1629    0.001    0.000    0.001    0.000 geometry.py:190(__bool__)
       24    0.000    0.000    0.001    0.000 selector_events.py:867(close)
      580    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1682(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 product.py:1(<module>)
        2    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
     1102    0.000    0.000    0.001    0.000 functools.py:421(_unwrap_partial)
        1    0.000    0.000    0.001    0.001 ansi.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      443    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     6894    0.001    0.000    0.001    0.000 driver.py:50(is_inline)
      449    0.000    0.000    0.001    0.000 worker.py:398(task_done_callback)
      585    0.000    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     1635    0.001    0.000    0.001    0.000 {method 'remove' of 'collections.deque' objects}
     2940    0.001    0.000    0.001    0.000 {built-in method _asyncio.get_running_loop}
       50    0.001    0.000    0.001    0.000 {method 'setblocking' of '_socket.socket' objects}
      220    0.000    0.000    0.001    0.000 parse.py:1094(_splithost)
        7    0.000    0.000    0.001    0.000 app.py:3339(_remove_nodes)
        2    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      144    0.000    0.000    0.001    0.000 widget.py:3827(_on_show)
       25    0.000    0.000    0.001    0.000 _make.py:2691(evolve)
      250    0.000    0.000    0.001    0.000 _segment_tools.py:267(apply_hatch)
     6418    0.001    0.000    0.001    0.000 app.py:777(is_dom_root)
        1    0.000    0.000    0.001    0.001 core.py:1781(Group)
        1    0.000    0.000    0.001    0.001 thread.py:1(<module>)
        7    0.000    0.000    0.001    0.000 query.py:195(exclude)
      720    0.000    0.000    0.001    0.000 typing.py:2288(get_origin)
       15    0.000    0.000    0.001    0.000 inspect.py:3279(__str__)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      816    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.001    0.001 dom.py:124(DOMNode)
        1    0.000    0.000    0.001    0.001 cells.py:1(<module>)
       77    0.000    0.000    0.001    0.000 widget.py:1373(watch_hover_style)
        1    0.000    0.000    0.001    0.001 market.py:1(<module>)
        2    0.000    0.000    0.001    0.000 http_proxy.py:1(<module>)
     1804    0.000    0.000    0.001    0.000 inspect.py:371(isfunction)
   103/82    0.000    0.000    0.001    0.000 _asyncio.py:470(_deliver_cancellation)
     6757    0.001    0.000    0.001    0.000 model.py:49(_check_universal)
       89    0.000    0.000    0.001    0.000 console.py:1270(measure)
      350    0.000    0.000    0.001    0.000 _monitor.py:269(yside_to_pos)
     3865    0.000    0.000    0.001    0.000 console.py:931(is_terminal)
      149    0.000    0.000    0.001    0.000 dom.py:769(display)
      707    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
        6    0.000    0.000    0.001    0.000 trading.py:112(compose)
      464    0.001    0.000    0.001    0.000 _receivebuffer.py:67(_extract)
     2257    0.001    0.000    0.001    0.000 _style_properties.py:126(validate_value)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
      237    0.000    0.000    0.001    0.000 _base.py:428(result)
       30    0.000    0.000    0.001    0.000 widget.py:1728(virtual_region)
        1    0.000    0.000    0.001    0.001 _monitor.py:1(<module>)
      115    0.000    0.000    0.001    0.000 _make.py:1190(_add_method_dunders)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
     1540    0.001    0.000    0.001    0.000 {method 'endswith' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 worker.py:1(<module>)
       56    0.000    0.000    0.001    0.000 app.py:3321(_walk_children)
       24    0.000    0.000    0.000    0.000 selector_events.py:1190(_call_connection_lost)
       32    0.000    0.000    0.000    0.000 widget.py:493(_allow_scroll)
        3    0.000    0.000    0.000    0.000 screen.py:734(_extend_compose)
       25    0.000    0.000    0.000    0.000 copy.py:61(copy)
        1    0.000    0.000    0.000    0.000 _utility.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _style_properties.py:418(__set__)
      169    0.000    0.000    0.000    0.000 geometry.py:154(clamp)
        1    0.000    0.000    0.000    0.000 style.py:30(Style)
     3347    0.000    0.000    0.000    0.000 _util.py:127(bytesify)
        1    0.000    0.000    0.000    0.000 core.py:160(Context)
        1    0.000    0.000    0.000    0.000 _connection.py:139(Connection)
      707    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     6415    0.000    0.000    0.000    0.000 _compositor.py:779(<lambda>)
       54    0.000    0.000    0.000    0.000 screen.py:1064(_clear_tooltip)
     1661    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 syntax.py:227(Syntax)
     1661    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      747    0.000    0.000    0.000    0.000 text.py:663(rstrip_end)
      805    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
     1227    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
